Treatment,PLOT NUMBER,SPCD,STATUSCD,DIAMETER (inches),ECOSUBCD,PHYSCLCD,ASPECT,SLOPE
Unmined,1,602,1,6, 221Ed,22,45-90,30-40
Unmined,1,602,1,10, 221Ed,22,45-90,30-40
Unmined,1,762,1,4, 221Ed,22,45-90,30-40
Unmined,1,762,1,6, 221Ed,22,45-90,30-40
Unmined,1,602,1,8, 221Ed,22,45-90,30-40
Unmined,1,972,1,8, 221Ed,22,45-90,10-20
Unmined,1,602,1,4, 221Ed,22,45-90,20-30
Unmined,1,602,1,10, 221Ed,22,45-90,20-30
Unmined,1,602,1,8, 221Ed,22,45-90,20-30
Unmined,1,602,1,2, 221Ed,22,45-90,20-30
Unmined,2,975,1,24, 221Ed,22,90-135,10-20
Unmined,2,762,2,, 221Ed,22,90-135,10-20
Unmined,2,975,1,6, 221Ed,22,90-135,10-20
Unmined,2,762,1,8, 221Ed,22,90-135,10-20
Unmined,2,762,1,8, 221Ed,22,90-135,10-20
Unmined,2,931,1,12, 221Ed,22,90-135,10-20
Unmined,2,316,1,8, 221Ed,22,90-135,10-20
Unmined,2,931,2,, 221Ed,22,90-135,10-20
Unmined,2,931,1,10, 221Ed,22,90-135,10-20
Unmined,2,541,1,2, 221Ed,22,90-135,10-20
Unmined,2,544,1,8, 221Ed,22,90-135,10-20
Unmined,2,316,1,6, 221Ed,22,90-135,10-20
Unmined,2,762,1,12, 221Ed,22,90-135,10-20
Unmined,2,762,1,14, 221Ed,22,90-135,10-20
Unmined,2,762,1,14, 221Ed,22,90-135,10-20
Unmined,2,762,1,12, 221Ed,22,90-135,10-20
Unmined,2,972,1,8, 221Ed,22,90-135,10-20
Unmined,2,316,1,10, 221Ed,22,90-135,10-20
Unmined,2,931,2,, 221Ed,22,90-135,10-20
Unmined,2,931,2,, 221Ed,22,90-135,10-20
Unmined,2,621,1,6, 221Ed,22,90-135,20-30
Unmined,2,931,1,6, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,2,6, 221Ed,22,90-135,20-30
Unmined,2,762,1,10, 221Ed,22,90-135,20-30
Unmined,2,931,2,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,762,1,8, 221Ed,22,90-135,20-30
Unmined,2,316,1,10, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,6, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,762,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,6, 221Ed,22,90-135,20-30
Unmined,2,931,1,6, 221Ed,22,90-135,20-30
Unmined,2,931,1,8, 221Ed,22,90-135,20-30
Unmined,2,931,1,6, 221Ed,22,90-135,20-30
Unmined,2,931,1,6, 221Ed,22,90-135,20-30
Unmined,2,316,1,6, 221Ed,22,90-135,20-30
Unmined,2,316,1,10, 221Ed,22,90-135,10-20
Unmined,2,316,1,8, 221Ed,22,90-135,10-20
Unmined,2,762,1,8, 221Ed,22,90-135,10-20
Unmined,2,762,1,16, 221Ed,22,90-135,10-20
Unmined,2,931,1,6, 221Ed,22,90-135,10-20
Unmined,2,544,1,12, 221Ed,22,90-135,10-20
Unmined,2,544,1,12, 221Ed,22,90-135,10-20
Unmined,2,931,2,, 221Ed,22,90-135,10-20
Unmined,2,931,2,10, 221Ed,22,90-135,10-20
Unmined,2,931,1,8, 221Ed,22,90-135,10-20
Unmined,2,931,1,10, 221Ed,22,90-135,10-20
Unmined,2,316,1,6, 221Ed,22,90-135,10-20
Unmined,2,931,1,6, 221Ed,22,90-135,10-20
Unmined,2,931,1,6, 221Ed,22,90-135,10-20
Unmined,3,762,1,12, 221Ed,22,315-360,20-30
Unmined,3,762,1,14, 221Ed,22,315-360,20-30
Unmined,3,762,1,14, 221Ed,22,315-360,20-30
Unmined,3,762,1,18, 221Ed,22,315-360,20-30
Unmined,3,762,1,10, 221Ed,22,315-360,20-30
Unmined,3,975,2,16, 221Ed,22,315-360,30-40
Unmined,3,341,1,12, 221Ed,22,315-360,30-40
Unmined,4,541,1,8, 221Ed,22,270-315,10-20
Unmined,4,541,1,8, 221Ed,22,270-315,10-20
Unmined,4,541,1,10, 221Ed,22,270-315,10-20
Unmined,4,541,1,12, 221Ed,22,270-315,10-20
Unmined,4,972,1,8, 221Ed,22,270-315,10-20
Unmined,4,541,2,8, 221Ed,22,270-315,10-20
Unmined,4,541,2,6, 221Ed,22,270-315,10-20
Unmined,4,541,2,8, 221Ed,22,270-315,10-20
Unmined,4,313,2,8, 221Ed,22,270-315,10-20
Unmined,4,313,1,6, 221Ed,22,270-315,10-20
Unmined,4,972,1,4, 221Ed,22,270-315,10-20
Unmined,4,972,1,6, 221Ed,22,270-315,10-20
Unmined,4,313,1,6, 221Ed,22,270-315,10-20
Unmined,4,313,1,12, 221Ed,22,225-270,10-20
Unmined,4,313,1,8, 221Ed,22,225-270,10-20
Unmined,4,541,1,8, 221Ed,22,225-270,10-20
Unmined,4,313,1,6, 221Ed,22,225-270,10-20
Unmined,4,541,1,8, 221Ed,22,225-270,10-20
Unmined,4,313,1,8, 221Ed,22,225-270,10-20
Unmined,4,972,1,6, 221Ed,22,225-270,10-20
Unmined,4,972,2,, 221Ed,22,225-270,10-20
Unmined,4,541,1,6, 221Ed,22,225-270,10-20
Unmined,4,931,1,6, 221Ed,22,225-270,10-20
Unmined,4,521,1,6, 221Ed,22,225-270,10-20
Unmined,4,541,1,8, 221Ed,22,270-315,20-30
Unmined,4,541,1,14, 221Ed,22,270-315,20-30
Unmined,4,975,1,6, 221Ed,22,270-315,20-30
Unmined,4,972,2,, 221Ed,22,270-315,20-30
Unmined,4,975,1,6, 221Ed,22,270-315,20-30
Unmined,4,975,1,8, 221Ed,22,270-315,20-30
Unmined,4,313,1,4, 221Ed,22,270-315,20-30
Unmined,4,641,1,6, 221Ed,22,270-315,20-30
Unmined,4,641,1,4, 221Ed,22,270-315,20-30
Unmined,4,318,1,2, 221Ed,22,270-315,20-30
Unmined,4,541,1,6, 221Ed,22,270-315,20-30
Unmined,4,313,2,6, 221Ed,22,270-315,20-30
Unmined,4,972,2,8, 221Ed,22,270-315,20-30
Unmined,4,541,1,10, 221Ed,22,270-315,20-30
Unmined,4,541,1,12, 221Ed,22,270-315,20-30
Unmined,4,313,1,8, 221Ed,22,270-315,20-30
Unmined,4,541,1,8, 221Ed,22,270-315,20-30
Unmined,4,541,2,, 221Ed,22,270-315,20-30
Unmined,4,972,1,6, 221Ed,22,270-315,20-30
Unmined,4,972,1,2, 221Ed,22,270-315,20-30
Unmined,5,901,2,10, 221Ee,22,45-90,10-20
Unmined,5,762,1,6, 221Ee,22,45-90,10-20
Unmined,5,402,1,10, 221Ee,22,45-90,10-20
Unmined,5,931,1,8, 221Ee,22,45-90,10-20
Unmined,5,316,1,14, 221Ee,22,45-90,10-20
Unmined,5,316,1,16, 221Ee,22,45-90,10-20
Unmined,5,972,2,, 221Ee,22,45-90,10-20
Unmined,5,316,1,8, 221Ee,22,45-90,10-20
Unmined,5,316,1,6, 221Ee,22,45-90,10-20
Unmined,5,402,1,6, 221Ee,22,45-90,10-20
Unmined,5,931,2,, 221Ee,22,0-45,10-20
Unmined,5,972,1,10, 221Ee,22,0-45,10-20
Unmined,5,316,1,14, 221Ee,22,0-45,10-20
Unmined,5,316,1,12, 221Ee,22,0-45,10-20
Unmined,5,621,1,22, 221Ee,22,0-45,10-20
Unmined,5,316,1,20, 221Ee,22,0-45,10-20
Unmined,5,316,1,14, 221Ee,22,0-45,10-20
Unmined,5,621,1,12, 221Ee,22,0-45,10-20
Unmined,5,316,1,12, 221Ee,22,0-45,10-20
Unmined,5,316,1,8, 221Ee,22,0-45,10-20
Unmined,5,972,1,14, 221Ee,22,0-45,10-20
Unmined,5,316,2,6, 221Ee,22,0-45,10-20
Unmined,5,316,1,6, 221Ee,22,0-45,10-20
Unmined,5,901,1,8, 221Ee,22,45-90,10-20
Unmined,5,901,1,8, 221Ee,22,0-45,10-20
Unmined,5,901,1,6, 221Ee,22,45-90,10-20
Unmined,5,316,1,8, 221Ee,22,0-45,10-20
Unmined,5,316,1,10, 221Ee,22,0-45,10-20
Unmined,5,693,1,6, 221Ee,22,0-45,10-20
Unmined,5,762,2,8, 221Ee,22,0-45,10-20
Unmined,5,541,1,16, 221Ee,22,0-45,10-20
Unmined,5,972,2,8, 221Ee,22,0-45,10-20
Unmined,5,541,1,8, 221Ee,22,0-45,10-20
Unmined,5,541,1,10, 221Ee,22,0-45,10-20
Unmined,5,972,1,8, 221Ee,22,0-45,10-20
Unmined,5,693,1,2, 221Ee,22,0-45,10-20
Unmined,5,901,1,6, 221Ee,22,0-45,10-20
Unmined,5,621,1,8, 221Ee,22,0-45,10-20
Unmined,6,491,1,4, 221Ed,22,45-90,30-40
Unmined,6,491,1,4, 221Ed,22,45-90,30-40
Unmined,6,491,1,2, 221Ed,22,45-90,30-40
Unmined,6,491,1,2, 221Ed,22,45-90,30-40
Unmined,6,491,1,4, 221Ed,22,45-90,30-40
Unmined,6,972,2,, 221Ed,22,45-90,30-40
Unmined,6,972,1,10, 221Ed,22,45-90,30-40
Unmined,6,972,1,8, 221Ed,22,45-90,30-40
Unmined,6,541,1,12, 221Ed,22,45-90,30-40
Unmined,6,541,1,12, 221Ed,22,45-90,30-40
Unmined,6,541,1,10, 221Ed,22,45-90,30-40
Unmined,6,491,1,2, 221Ed,22,45-90,30-40
Unmined,6,541,1,6, 221Ed,22,45-90,30-40
Unmined,6,541,1,8, 221Ed,22,45-90,30-40
Unmined,6,602,1,6, 221Ed,22,45-90,30-40
Unmined,6,541,2,8, 221Ed,22,45-90,20-30
Unmined,6,641,1,6, 221Ed,22,45-90,20-30
Unmined,6,641,1,8, 221Ed,22,45-90,20-30
Unmined,6,972,1,4, 221Ed,22,45-90,20-30
Unmined,6,541,1,8, 221Ed,22,45-90,20-30
Unmined,6,972,2,, 221Ed,22,45-90,20-30
Unmined,6,641,1,6, 221Ed,22,45-90,20-30
Unmined,6,541,1,8, 221Ed,22,0-45,20-30
Unmined,6,975,2,14, 221Ed,22,0-45,20-30
Unmined,6,541,2,14, 221Ed,22,0-45,20-30
Unmined,6,541,1,10, 221Ed,22,0-45,20-30
Unmined,6,541,2,8, 221Ed,22,0-45,20-30
Unmined,6,541,1,10, 221Ed,22,0-45,20-30
Unmined,6,541,1,10, 221Ed,22,0-45,20-30
Unmined,6,541,1,8, 221Ed,22,0-45,20-30
Unmined,6,541,1,10, 221Ed,22,0-45,20-30
Unmined,6,541,1,10, 221Ed,22,0-45,20-30
Unmined,6,641,1,12, 221Ed,22,0-45,20-30
Unmined,6,641,1,8, 221Ed,22,0-45,20-30
Unmined,6,817,1,4, 221Ed,22,0-45,20-30
Unmined,6,407,1,2, 221Ed,22,0-45,20-30
Unmined,6,318,1,2, 221Ed,22,0-45,20-30
Unmined,6,407,1,2, 221Ed,22,0-45,20-30
Unmined,6,541,1,6, 221Ed,22,0-45,20-30
Unmined,6,817,1,8, 221Ed,22,0-45,20-30
Unmined,6,762,1,6, 221Ed,22,0-45,20-30
Unmined,6,972,1,8, 221Ed,22,0-45,20-30
Unmined,6,541,1,4, 221Ed,22,45-90,10-20
Unmined,6,641,1,8, 221Ed,22,45-90,10-20
Unmined,6,641,1,8, 221Ed,22,45-90,10-20
Unmined,6,641,1,10, 221Ed,22,45-90,10-20
Unmined,6,641,1,8, 221Ed,22,45-90,10-20
Unmined,6,641,2,, 221Ed,22,45-90,10-20
Unmined,6,641,1,8, 221Ed,22,45-90,10-20
Unmined,6,641,1,2, 221Ed,22,45-90,10-20
Unmined,7,318,1,20, 221Ee,22,135-180,20-30
Unmined,7,972,1,4, 221Ee,22,135-180,20-30
Unmined,7,318,1,4, 221Ee,22,135-180,20-30
Unmined,7,762,2,, 221Ee,22,135-180,20-30
Unmined,7,621,1,14, 221Ee,22,135-180,20-30
Unmined,7,341,2,, 221Ee,22,135-180,20-30
Unmined,7,318,1,4, 221Ee,22,135-180,20-30
Unmined,7,318,1,4, 221Ee,22,135-180,20-30
Unmined,7,762,2,, 221Ee,22,135-180,20-30
Unmined,7,316,1,4, 221Ee,22,135-180,20-30
Unmined,7,975,1,6, 221Ee,22,135-180,20-30
Unmined,7,762,2,, 221Ee,22,135-180,20-30
Unmined,7,491,1,2, 221Ee,22,135-180,20-30
Unmined,7,762,1,8, 221Ee,22,135-180,20-30
Unmined,7,762,1,8, 221Ee,22,135-180,20-30
Unmined,7,621,1,10, 221Ee,22,135-180,20-30
Unmined,7,762,1,8, 221Ee,22,135-180,20-30
Unmined,7,762,1,6, 221Ee,22,135-180,20-30
Unmined,7,531,1,12, 221Ee,22,135-180,20-30
Unmined,7,318,1,8, 221Ee,22,135-180,20-30
Unmined,7,972,1,8, 221Ee,22,135-180,20-30
Unmined,7,762,1,8, 221Ee,22,135-180,20-30
Unmined,7,762,1,6, 221Ee,22,135-180,20-30
Unmined,7,762,1,6, 221Ee,22,135-180,20-30
Unmined,7,318,1,2, 221Ee,22,135-180,20-30
Unmined,7,621,2,8, 221Ee,22,180-225,20-30
Unmined,7,621,1,10, 221Ee,22,180-225,20-30
Unmined,8,762,1,8, 221Ee,22,270-315,0-10
Unmined,8,972,2,, 221Ee,22,270-315,0-10
Unmined,8,972,1,10, 221Ee,22,270-315,0-10
Unmined,8,602,1,8, 221Ee,22,270-315,0-10
Unmined,8,602,1,8, 221Ee,22,270-315,0-10
Unmined,8,544,1,8, 221Ee,22,270-315,0-10
Unmined,8,972,1,2, 221Ee,22,270-315,0-10
Unmined,8,762,1,4, 221Ee,22,225-270,10-20
Unmined,8,762,1,8, 221Ee,22,225-270,10-20
Unmined,8,552,1,16, 221Ee,22,225-270,10-20
Unmined,8,552,1,14, 221Ee,22,225-270,10-20
Unmined,8,602,1,8, 221Ee,22,225-270,10-20
Unmined,8,762,1,4, 221Ee,22,180-225,10-20
Unmined,8,500,1,2, 221Ee,22,180-225,10-20
Unmined,8,500,1,2, 221Ee,22,180-225,10-20
Unmined,8,500,1,4, 221Ee,22,180-225,10-20
Unmined,8,762,2,, 221Ee,22,180-225,10-20
Unmined,8,972,2,, 221Ee,22,180-225,10-20
Unmined,8,972,2,, 221Ee,22,180-225,10-20
Unmined,8,762,1,8, 221Ee,22,180-225,10-20
Unmined,8,531,1,12, 221Ee,22,180-225,10-20
Unmined,8,762,1,16, 221Ee,22,180-225,10-20
Unmined,8,972,1,10, 221Ee,22,180-225,10-20
Unmined,8,972,1,12, 221Ee,22,180-225,10-20
Unmined,8,544,1,8, 221Ee,22,180-225,10-20
Unmined,8,500,1,4, 221Ee,22,180-225,10-20
Unmined,8,972,1,8, 221Ee,22,180-225,10-20
Unmined,8,972,2,, 221Ee,22,180-225,10-20
Unmined,8,541,1,12, 221Ee,22,180-225,10-20
Unmined,8,541,1,10, 221Ee,22,180-225,10-20
Unmined,8,762,1,10, 221Ee,22,180-225,10-20
Unmined,8,975,1,10, 221Ee,22,180-225,10-20
Unmined,8,762,1,4, 221Ee,22,180-225,10-20
Unmined,8,972,1,6, 221Ee,22,180-225,10-20
Unmined,8,731,1,8, 221Ee,22,180-225,10-20
Unmined,8,541,1,6, 221Ee,22,180-225,10-20
Unmined,8,972,1,6, 221Ee,22,180-225,10-20
Unmined,9,762,1,16, 221Ed,22,180-225,20-30
Unmined,9,762,2,, 221Ed,22,180-225,20-30
Unmined,9,318,1,4, 221Ed,22,180-225,20-30
Unmined,9,621,1,10, 221Ed,22,180-225,20-30
Unmined,9,762,1,12, 221Ed,22,180-225,20-30
Unmined,9,762,2,14, 221Ed,22,180-225,20-30
Unmined,9,541,1,14, 221Ed,22,180-225,20-30
Unmined,9,762,1,12, 221Ed,22,180-225,20-30
Unmined,9,762,2,6, 221Ed,22,180-225,20-30
Unmined,9,762,2,8, 221Ed,22,180-225,20-30
Unmined,9,972,2,, 221Ed,22,180-225,20-30
Unmined,9,541,1,16, 221Ed,22,180-225,20-30
Unmined,9,318,1,6, 221Ed,22,180-225,20-30
Unmined,9,762,1,14, 221Ed,22,180-225,20-30
Unmined,9,313,1,16, 221Ed,22,180-225,30-40
Unmined,9,975,2,14, 221Ed,22,180-225,30-40
Unmined,9,901,1,8, 221Ed,22,180-225,30-40
Unmined,9,901,1,10, 221Ed,22,180-225,30-40
Unmined,9,313,1,8, 221Ed,22,180-225,30-40
Unmined,9,313,1,8, 221Ed,22,180-225,30-40
Unmined,9,826,1,6, 221Ed,22,180-225,30-40
Unmined,9,313,1,6, 221Ed,22,180-225,30-40
Unmined,9,541,1,16, 221Ed,22,180-225,20-30
Unmined,9,318,1,12, 221Ed,22,180-225,20-30
Unmined,9,972,2,8, 221Ed,22,180-225,20-30
Unmined,9,316,1,14, 221Ed,22,180-225,20-30
Unmined,9,972,2,, 221Ed,22,180-225,20-30
Unmined,9,621,1,10, 221Ed,22,180-225,20-30
Unmined,9,621,1,6, 221Ed,22,180-225,20-30
Unmined,9,367,1,4, 221Ed,22,180-225,10-20
Unmined,9,367,1,2, 221Ed,22,180-225,10-20
Unmined,9,341,1,4, 221Ed,22,180-225,10-20
Unmined,9,901,2,, 221Ed,22,180-225,10-20
Unmined,9,341,1,4, 221Ed,22,180-225,10-20
Unmined,9,367,1,4, 221Ed,22,180-225,10-20
Unmined,9,367,1,2, 221Ed,22,180-225,10-20
Unmined,9,931,1,4, 221Ed,22,180-225,10-20
Unmined,9,901,1,8, 221Ed,22,180-225,10-20
Unmined,9,341,1,10, 221Ed,22,180-225,10-20
Unmined,9,367,1,2, 221Ed,22,180-225,10-20
Unmined,9,901,1,6, 221Ed,22,180-225,10-20
Unmined,9,341,1,10, 221Ed,22,180-225,10-20
Unmined,9,972,1,8, 221Ed,22,180-225,10-20
Unmined,9,341,1,6, 221Ed,22,180-225,10-20
Unmined,9,341,1,6, 221Ed,22,180-225,10-20
Unmined,9,922,1,6, 221Ed,22,180-225,10-20
Unmined,9,931,1,6, 221Ed,22,180-225,10-20
Unmined,10,901,1,10, 221Ee,22,180-225,0-10
Unmined,10,621,1,20, 221Ee,22,180-225,0-10
Unmined,10,901,1,8, 221Ee,22,180-225,0-10
Unmined,10,621,1,10, 221Ee,22,180-225,0-10
Unmined,10,901,1,14, 221Ee,22,315-360,0-10
Unmined,10,972,2,8, 221Ee,22,315-360,0-10
Unmined,10,972,1,8, 221Ee,22,315-360,0-10
Unmined,10,901,2,, 221Ee,22,315-360,0-10
Unmined,10,901,2,, 221Ee,22,315-360,0-10
Unmined,10,975,1,10, 221Ee,22,315-360,0-10
Unmined,10,972,1,16, 221Ee,22,315-360,0-10
Unmined,10,901,2,10, 221Ee,22,315-360,0-10
Unmined,10,901,1,12, 221Ee,22,315-360,0-10
Unmined,10,972,1,12, 221Ee,22,315-360,0-10
Unmined,10,972,1,8, 221Ee,22,315-360,0-10
Unmined,10,972,1,8, 221Ee,22,315-360,0-10
Unmined,10,972,1,4, 221Ee,22,135-180,0-10
Unmined,10,621,1,16, 221Ee,22,135-180,0-10
Unmined,10,541,1,8, 221Ee,22,135-180,0-10
Unmined,10,621,1,10, 221Ee,22,135-180,0-10
Unmined,10,901,1,8, 221Ee,22,135-180,0-10
Unmined,10,901,1,8, 221Ee,22,135-180,0-10
Unmined,10,901,1,10, 221Ee,22,135-180,0-10
Unmined,10,621,1,12, 221Ee,22,135-180,0-10
Unmined,10,972,1,6, 221Ee,22,135-180,0-10
Unmined,10,972,1,8, 221Ee,22,135-180,0-10
Unmined,10,621,1,10, 221Ee,22,225-270,0-10
Unmined,10,621,1,10, 221Ee,22,225-270,0-10
Unmined,10,621,1,10, 221Ee,22,225-270,0-10
Unmined,10,743,1,12, 221Ee,22,225-270,0-10
Unmined,10,743,1,14, 221Ee,22,225-270,0-10
Unmined,10,743,2,10, 221Ee,22,225-270,0-10
Unmined,10,621,2,, 221Ee,22,225-270,0-10
Unmined,10,621,1,10, 221Ee,22,225-270,0-10
Unmined,10,972,1,12, 221Ee,22,225-270,0-10
Unmined,10,531,1,6, 221Ee,22,225-270,0-10
Unmined,11,762,1,4, 221Ed,22,0-45,30-40
Unmined,11,316,1,6, 221Ed,22,0-45,30-40
Unmined,11,621,1,4, 221Ed,22,0-45,30-40
Unmined,11,621,1,4, 221Ed,22,0-45,30-40
Unmined,11,621,2,2, 221Ed,22,0-45,30-40
Unmined,11,541,1,2, 221Ed,22,0-45,30-40
Unmined,11,316,1,2, 221Ed,22,0-45,30-40
Unmined,11,318,1,8, 221Ed,22,0-45,30-40
Unmined,11,621,1,10, 221Ed,22,0-45,30-40
Unmined,11,621,1,10, 221Ed,22,0-45,30-40
Unmined,11,837,1,10, 221Ed,22,0-45,30-40
Unmined,11,621,1,8, 221Ed,22,0-45,30-40
Unmined,11,318,1,6, 221Ed,22,0-45,30-40
Unmined,11,316,1,6, 221Ed,22,0-45,30-40
Unmined,11,318,1,4, 221Ed,22,0-45,40-50
Unmined,11,663,1,6, 221Ed,22,0-45,40-50
Unmined,11,837,1,10, 221Ed,22,0-45,40-50
Unmined,11,931,1,8, 221Ed,22,0-45,40-50
Unmined,11,762,2,8, 221Ed,22,0-45,40-50
Unmined,11,762,2,6, 221Ed,22,0-45,40-50
Unmined,11,762,1,6, 221Ed,22,0-45,40-50
Unmined,11,318,1,2, 221Ed,22,0-45,40-50
Unmined,11,701,1,2, 221Ed,22,0-45,40-50
Unmined,11,701,1,2, 221Ed,22,0-45,40-50
Unmined,11,663,2,, 221Ed,22,0-45,40-50
Unmined,11,316,1,4, 221Ed,22,0-45,40-50
Unmined,11,972,1,2, 221Ed,22,0-45,40-50
Unmined,11,972,1,4, 221Ed,22,0-45,40-50
Unmined,11,972,1,4, 221Ed,22,0-45,40-50
Unmined,11,318,1,10, 221Ed,22,0-45,40-50
Unmined,11,931,1,8, 221Ed,22,0-45,40-50
Unmined,11,621,1,10, 221Ed,22,0-45,40-50
Unmined,11,663,2,, 221Ed,22,0-45,40-50
Unmined,11,837,1,10, 221Ed,22,0-45,40-50
Unmined,11,316,1,8, 221Ed,22,0-45,40-50
Unmined,11,130,1,8, 221Ed,22,0-45,40-50
Unmined,11,837,1,6, 221Ed,22,0-45,40-50
Unmined,11,316,1,8, 221Ed,22,0-45,40-50
Unmined,11,931,1,6, 221Ed,22,0-45,40-50
Unmined,11,318,1,6, 221Ed,22,0-45,40-50
Unmined,11,931,1,6, 221Ed,22,0-45,40-50
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,621,1,6, 221Ed,22,315-360,20-30
Unmined,11,931,2,, 221Ed,22,315-360,20-30
Unmined,11,931,1,6, 221Ed,22,315-360,20-30
Unmined,11,663,2,, 221Ed,22,315-360,20-30
Unmined,11,621,1,6, 221Ed,22,315-360,20-30
Unmined,11,621,1,6, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,663,2,, 221Ed,22,315-360,20-30
Unmined,11,621,1,10, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
