Treatment,PLOT NUMBER,SPCD,STATUSCD,DIAMETER (inches),ECOSUBCD,PHYSCLCD,ASPECT,SLOPE
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,11,693,1,2, 221Ed,22,315-360,20-30
Unmined,11,621,1,8, 221Ed,22,315-360,20-30
Unmined,12,693,1,4, 221Ee,22,180-225,20-30
Unmined,12,817,1,4, 221Ee,22,180-225,20-30
Unmined,12,837,1,10, 221Ee,22,180-225,20-30
Unmined,12,837,1,10, 221Ee,22,180-225,20-30
Unmined,12,762,1,8, 221Ee,22,180-225,20-30
Unmined,12,762,1,8, 221Ee,22,180-225,20-30
Unmined,12,316,1,12, 221Ee,22,180-225,20-30
Unmined,12,837,1,10, 221Ee,22,180-225,20-30
Unmined,12,762,1,6, 221Ee,22,180-225,20-30
Unmined,12,762,1,6, 221Ee,22,180-225,20-30
Unmined,12,837,1,10, 221Ee,22,180-225,20-30
Unmined,12,817,1,2, 221Ee,22,180-225,20-30
Unmined,12,837,1,8, 221Ee,22,180-225,20-30
Unmined,12,837,1,6, 221Ee,22,270-315,30-40
Unmined,12,837,1,6, 221Ee,22,270-315,30-40
Unmined,12,316,1,6, 221Ee,22,270-315,30-40
Unmined,12,762,1,6, 221Ee,22,135-180,40-50
Unmined,12,901,1,6, 221Ee,22,135-180,40-50
Unmined,12,762,1,14, 221Ee,22,135-180,40-50
Unmined,12,762,1,6, 221Ee,22,135-180,40-50
Unmined,12,762,1,12, 221Ee,22,135-180,40-50
Unmined,12,762,1,6, 221Ee,22,135-180,40-50
Unmined,12,762,1,8, 221Ee,22,135-180,40-50
Unmined,12,762,1,10, 221Ee,22,135-180,40-50
Unmined,12,762,1,8, 221Ee,22,135-180,40-50
Unmined,12,762,1,8, 221Ee,22,135-180,40-50
Unmined,12,762,1,10, 221Ee,22,135-180,40-50
Unmined,12,762,1,8, 221Ee,22,135-180,40-50
Unmined,12,802,1,8, 221Ee,22,135-180,40-50
Unmined,12,762,1,8, 221Ee,22,135-180,40-50
Unmined,12,762,1,10, 221Ee,22,135-180,40-50
Unmined,12,817,1,2, 221Ee,22,135-180,40-50
Unmined,12,762,2,6, 221Ee,22,135-180,40-50
Unmined,12,837,1,10, 221Ee,22,270-315,30-40
Unmined,12,837,1,12, 221Ee,22,270-315,30-40
Unmined,12,762,1,8, 221Ee,22,270-315,30-40
Unmined,12,837,1,14, 221Ee,22,270-315,30-40
Unmined,12,837,1,8, 221Ee,22,270-315,30-40
Unmined,12,762,1,6, 221Ee,22,270-315,30-40
Unmined,13,641,1,10, 221Ed,22,90-135,0-10
Unmined,13,641,1,12, 221Ed,22,90-135,0-10
Unmined,13,762,1,10, 221Ed,22,90-135,0-10
Unmined,13,541,2,8, 221Ed,22,90-135,0-10
Unmined,13,641,1,8, 221Ed,22,90-135,0-10
Unmined,13,500,1,2, 221Ed,22,90-135,0-10
Unmined,13,975,1,4, 221Ed,22,90-135,0-10
Unmined,13,762,1,12, 221Ed,22,135-180,0-10
Unmined,13,641,1,10, 221Ed,22,135-180,0-10
Unmined,13,641,1,8, 221Ed,22,135-180,0-10
Unmined,13,641,1,8, 221Ed,22,135-180,0-10
Unmined,13,641,1,10, 221Ed,22,135-180,0-10
Unmined,13,641,1,12, 221Ed,22,135-180,0-10
Unmined,13,641,1,10, 221Ed,22,135-180,0-10
Unmined,13,641,1,8, 221Ed,22,135-180,0-10
Unmined,13,641,1,10, 221Ed,22,135-180,0-10
Unmined,13,541,1,6, 221Ed,22,135-180,0-10
Unmined,13,313,1,4, 221Ed,22,135-180,0-10
Unmined,13,602,1,6, 221Ed,22,135-180,0-10
Unmined,13,602,1,6, 221Ed,22,135-180,0-10
Unmined,13,602,1,12, 221Ed,22,45-90,0-10
Unmined,13,541,1,2, 221Ed,22,45-90,0-10
Unmined,13,602,1,8, 221Ed,22,45-90,0-10
Unmined,13,602,1,8, 221Ed,22,45-90,0-10
Unmined,13,602,1,6, 221Ed,22,45-90,0-10
Unmined,13,602,1,6, 221Ed,22,45-90,0-10
Unmined,13,621,1,8, 221Ed,22,45-90,0-10
Unmined,13,602,1,8, 221Ed,22,45-90,0-10
Unmined,13,602,1,8, 221Ed,22,45-90,0-10
Unmined,13,341,1,8, 221Ed,22,45-90,20-30
Unmined,13,341,1,8, 221Ed,22,45-90,20-30
Unmined,13,341,1,6, 221Ed,22,45-90,20-30
Unmined,13,641,1,8, 221Ed,22,45-90,20-30
Unmined,13,621,1,14, 221Ed,22,45-90,20-30
Unmined,13,621,1,10, 221Ed,22,45-90,20-30
Unmined,13,602,1,10, 221Ed,22,45-90,20-30
Unmined,13,602,1,12, 221Ed,22,45-90,20-30
Unmined,13,541,1,4, 221Ed,22,45-90,20-30
Unmined,13,341,1,8, 221Ed,22,45-90,20-30
Unmined,13,602,1,8, 221Ed,22,45-90,20-30
Unmined,14,491,1,2, 221Ee,22,90-135,20-30
Unmined,14,491,1,6, 221Ee,22,90-135,20-30
Unmined,14,541,1,10, 221Ee,22,90-135,20-30
Unmined,14,541,1,10, 221Ee,22,90-135,20-30
Unmined,14,541,1,8, 221Ee,22,90-135,20-30
Unmined,14,541,1,8, 221Ee,22,90-135,20-30
Unmined,14,972,1,2, 221Ee,22,90-135,20-30
Unmined,14,621,1,14, 221Ee,22,90-135,20-30
Unmined,14,541,1,10, 221Ee,22,90-135,20-30
Unmined,14,318,1,8, 221Ee,22,90-135,20-30
Unmined,14,762,1,12, 221Ee,22,90-135,20-30
Unmined,14,318,1,6, 221Ee,22,90-135,20-30
Unmined,14,316,1,6, 221Ee,22,90-135,20-30
Unmined,14,541,1,6, 221Ee,22,90-135,20-30
Unmined,14,972,1,10, 221Ee,22,90-135,20-30
Unmined,14,316,1,14, 221Ee,22,90-135,20-30
Unmined,14,972,1,12, 221Ee,22,90-135,20-30
Unmined,14,541,1,10, 221Ee,22,90-135,20-30
Unmined,14,762,1,8, 221Ee,22,90-135,20-30
Unmined,14,621,1,8, 221Ee,22,90-135,20-30
Unmined,14,762,1,6, 221Ee,22,90-135,20-30
Unmined,14,491,1,2, 221Ee,22,90-135,20-30
Unmined,14,762,2,4, 221Ee,22,90-135,10-20
Unmined,14,316,1,20, 221Ee,22,90-135,10-20
Unmined,14,316,1,16, 221Ee,22,90-135,10-20
Unmined,14,491,1,6, 221Ee,22,90-135,10-20
Unmined,14,762,1,10, 221Ee,22,90-135,10-20
Unmined,14,762,1,10, 221Ee,22,90-135,10-20
Unmined,14,972,1,6, 221Ee,22,90-135,10-20
Unmined,15,762,1,12, 221Ee,22,135-180,20-30
Unmined,15,762,1,10, 221Ee,22,135-180,20-30
Unmined,15,837,1,18, 221Ee,22,135-180,20-30
Unmined,15,762,1,6, 221Ee,22,135-180,20-30
Unmined,15,316,1,8, 221Ee,22,0-45,20-30
Unmined,15,316,1,10, 221Ee,22,0-45,20-30
Unmined,15,316,1,12, 221Ee,22,0-45,20-30
Unmined,15,316,1,10, 221Ee,22,0-45,20-30
Unmined,15,316,1,8, 221Ee,22,0-45,20-30
Unmined,15,316,1,8, 221Ee,22,0-45,20-30
Unmined,15,316,1,16, 221Ee,22,0-45,20-30
Unmined,15,316,2,, 221Ee,22,0-45,20-30
Unmined,15,316,2,, 221Ee,22,0-45,20-30
Unmined,15,316,1,12, 221Ee,22,0-45,20-30
Unmined,15,316,1,14, 221Ee,22,0-45,20-30
Unmined,15,621,1,12, 221Ee,22,0-45,20-30
Unmined,15,316,1,6, 221Ee,22,0-45,20-30
Unmined,15,316,1,6, 221Ee,22,0-45,20-30
Unmined,15,762,2,, 221Ee,22,135-180,20-30
Unmined,15,407,1,12, 221Ee,22,135-180,20-30
Unmined,15,316,1,14, 221Ee,22,135-180,20-30
Unmined,15,316,1,12, 221Ee,22,135-180,20-30
Unmined,15,931,1,8, 221Ee,22,135-180,20-30
Unmined,15,802,1,2, 221Ee,22,135-180,20-30
Unmined,15,621,1,6, 221Ee,22,135-180,20-30
Unmined,15,541,1,12, 221Ee,22,90-135,20-30
Unmined,15,837,1,12, 221Ee,22,90-135,20-30
Unmined,15,621,1,8, 221Ee,22,90-135,20-30
Unmined,15,316,1,14, 221Ee,22,90-135,20-30
Unmined,15,621,1,14, 221Ee,22,90-135,20-30
Unmined,15,541,1,14, 221Ee,22,90-135,20-30
Unmined,15,541,1,12, 221Ee,22,90-135,20-30
Unmined,15,541,1,10, 221Ee,22,90-135,20-30
Unmined,15,762,1,10, 221Ee,22,90-135,20-30
Unmined,15,621,1,16, 221Ee,22,90-135,20-30
Unmined,15,318,1,2, 221Ee,22,90-135,20-30
Unmined,16,972,1,18, 221Ee,22,225-270,0-10
Unmined,16,972,1,8, 221Ee,22,225-270,0-10
Unmined,16,762,1,10, 221Ee,22,225-270,0-10
Unmined,16,316,1,14, 221Ee,22,225-270,0-10
Unmined,16,316,1,14, 221Ee,22,225-270,0-10
Unmined,16,621,1,2, 221Ee,22,225-270,0-10
Unmined,16,403,1,8, 221Ee,22,270-315,0-10
Unmined,16,802,1,24, 221Ee,22,270-315,0-10
Unmined,16,802,1,4, 221Ee,22,270-315,0-10
Unmined,16,837,1,8, 221Ee,22,270-315,0-10
Unmined,16,316,1,4, 221Ee,22,0-45,10-20
Unmined,16,316,1,6, 221Ee,22,0-45,10-20
Unmined,16,316,1,4, 221Ee,22,0-45,10-20
Unmined,16,316,1,4, 221Ee,22,0-45,10-20
Unmined,16,931,1,8, 221Ee,22,0-45,10-20
Unmined,16,743,1,14, 221Ee,22,0-45,10-20
Unmined,16,931,1,8, 221Ee,22,0-45,10-20
Unmined,16,316,1,12, 221Ee,22,0-45,10-20
Unmined,16,743,1,14, 221Ee,22,0-45,10-20
Unmined,16,931,1,8, 221Ee,22,0-45,10-20
Unmined,16,316,2,, 221Ee,22,0-45,10-20
Unmined,16,316,1,2, 221Ee,22,0-45,10-20
Unmined,16,972,1,2, 221Ee,22,0-45,10-20
Unmined,16,621,1,6, 221Ee,22,0-45,10-20
Unmined,16,621,1,6, 221Ee,22,0-45,10-20
Unmined,16,621,1,6, 221Ee,22,0-45,10-20
Unmined,16,972,1,2, 221Ee,22,225-270,10-20
Unmined,16,693,1,8, 221Ee,22,225-270,10-20
Unmined,16,316,1,10, 221Ee,22,225-270,10-20
Unmined,16,316,1,12, 221Ee,22,225-270,10-20
Unmined,16,693,1,4, 221Ee,22,225-270,10-20
Unmined,16,693,1,6, 221Ee,22,225-270,10-20
Unmined,16,316,1,8, 221Ee,22,225-270,10-20
Unmined,16,316,1,8, 221Ee,22,225-270,10-20
Unmined,17,762,1,6, 221Ed,22,0-45,30-40
Unmined,17,972,1,8, 221Ed,22,0-45,30-40
Unmined,17,762,1,10, 221Ed,22,0-45,30-40
Unmined,17,975,1,10, 221Ed,22,0-45,30-40
Unmined,17,762,1,14, 221Ed,22,0-45,30-40
Unmined,17,762,1,12, 221Ed,22,0-45,30-40
Unmined,17,975,1,8, 221Ed,22,0-45,30-40
Unmined,17,975,2,10, 221Ed,22,0-45,30-40
Unmined,17,762,1,10, 221Ed,22,0-45,30-40
Unmined,17,972,2,6, 221Ed,22,0-45,30-40
Unmined,17,313,1,2, 221Ed,22,0-45,30-40
Unmined,17,500,1,4, 221Ed,22,0-45,0-10
Unmined,17,762,1,12, 221Ed,22,0-45,0-10
Unmined,17,762,1,12, 221Ed,22,0-45,0-10
Unmined,17,972,1,12, 221Ed,22,0-45,0-10
Unmined,17,975,1,8, 221Ed,22,0-45,0-10
Unmined,17,313,1,2, 221Ed,22,0-45,0-10
Unmined,17,972,1,8, 221Ed,22,0-45,0-10
Unmined,17,491,1,6, 221Ed,22,45-90,20-30
Unmined,17,762,1,10, 221Ed,22,45-90,20-30
Unmined,17,975,2,6, 221Ed,22,45-90,20-30
Unmined,17,762,1,8, 221Ed,22,45-90,20-30
Unmined,17,975,2,, 221Ed,22,45-90,20-30
Unmined,17,541,1,8, 221Ed,22,45-90,20-30
Unmined,17,762,1,6, 221Ed,22,45-90,20-30
Unmined,17,313,1,2, 221Ed,22,45-90,20-30
Unmined,17,313,1,2, 221Ed,22,45-90,20-30
Unmined,17,341,1,6, 221Ed,22,45-90,10-20
Unmined,17,975,1,6, 221Ed,22,45-90,10-20
Unmined,17,341,1,10, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,10, 221Ed,22,45-90,10-20
Unmined,17,341,1,10, 221Ed,22,45-90,10-20
Unmined,17,341,1,10, 221Ed,22,45-90,10-20
Unmined,17,341,1,10, 221Ed,22,45-90,10-20
Unmined,17,341,1,10, 221Ed,22,45-90,10-20
Unmined,17,762,1,10, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,10, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,341,1,8, 221Ed,22,45-90,10-20
Unmined,17,972,1,6, 221Ed,22,45-90,10-20
Unmined,17,972,1,6, 221Ed,22,45-90,10-20
Mined,18,901,2,, 221Ed,22,90-135,10-20
Mined,18,901,1,6, 221Ed,22,90-135,10-20
Mined,18,972,1,6, 221Ed,22,90-135,10-20
Mined,18,901,1,6, 221Ed,22,90-135,10-20
Mined,18,972,1,6, 221Ed,22,90-135,10-20
Mined,18,975,1,8, 221Ed,22,90-135,10-20
Mined,18,731,1,8, 221Ed,22,90-135,20-30
Mined,18,317,1,16, 221Ed,22,90-135,20-30
Mined,18,762,1,14, 221Ed,22,90-135,20-30
Mined,18,901,1,8, 221Ed,22,90-135,20-30
Mined,18,901,1,8, 221Ed,22,90-135,20-30
Mined,18,317,1,12, 221Ed,22,90-135,20-30
Mined,18,317,1,8, 221Ed,22,90-135,20-30
Mined,18,341,2,, 221Ed,22,90-135,20-30
Mined,18,341,2,, 221Ed,22,90-135,20-30
Mined,18,901,2,, 221Ed,22,90-135,20-30
Mined,18,317,1,10, 221Ed,22,90-135,10-20
Mined,18,317,1,10, 221Ed,22,90-135,10-20
Mined,18,317,1,14, 221Ed,22,90-135,10-20
Mined,18,901,2,6, 221Ed,22,90-135,10-20
Mined,18,901,1,10, 221Ed,22,90-135,10-20
Mined,18,762,1,8, 221Ed,22,90-135,10-20
Mined,18,972,1,6, 221Ed,22,90-135,10-20
Mined,18,972,1,6, 221Ed,22,90-135,10-20
Mined,19,313,1,4, 221Ed,22,45-90,
Mined,19,317,1,10, 221Ed,22,45-90,
Mined,19,317,2,, 221Ed,22,45-90,
Mined,19,317,2,6, 221Ed,22,45-90,
Mined,19,833,1,16, 221Ed,22,45-90,
Mined,19,731,1,8, 221Ed,22,45-90,
Mined,19,313,1,10, 221Ed,22,45-90,
Mined,19,742,1,10, 221Ed,22,45-90,
Mined,19,541,1,2, 221Ed,22,45-90,
Mined,19,541,1,6, 221Ed,22,45-90,
Mined,19,313,1,6, 221Ed,22,45-90,
Mined,19,833,1,6, 221Ed,22,90-135,40-50
Mined,19,317,1,10, 221Ed,22,90-135,40-50
Mined,19,742,1,16, 221Ed,22,90-135,40-50
Mined,19,317,1,8, 221Ed,22,90-135,40-50
Mined,19,544,1,8, 221Ed,22,90-135,40-50
Mined,19,317,1,8, 221Ed,22,90-135,40-50
Mined,19,341,2,, 221Ed,22,90-135,40-50
Mined,19,833,1,8, 221Ed,22,90-135,40-50
Mined,19,833,1,14, 221Ed,22,90-135,40-50
Mined,19,544,1,12, 221Ed,22,90-135,40-50
Mined,19,341,2,8, 221Ed,22,90-135,40-50
Mined,19,541,1,8, 221Ed,22,90-135,40-50
Mined,19,833,1,8, 221Ed,22,90-135,40-50
Mined,19,471,1,4, 221Ed,22,45-90,20-30
Mined,19,731,1,14, 221Ed,22,45-90,20-30
Mined,19,602,2,8, 221Ed,22,45-90,20-30
Mined,19,621,1,16, 221Ed,22,45-90,20-30
Mined,19,341,2,, 221Ed,22,45-90,20-30
Mined,19,972,1,10, 221Ed,22,45-90,20-30
Mined,19,341,2,6, 221Ed,22,45-90,20-30
Mined,19,341,1,14, 221Ed,22,45-90,20-30
Mined,19,317,1,14, 221Ed,22,45-90,20-30
Mined,19,317,1,14, 221Ed,22,45-90,20-30
Mined,19,972,1,6, 221Ed,22,45-90,20-30
Mined,19,313,1,2, 221Ed,22,225-270,
Mined,19,313,1,6, 221Ed,22,225-270,
Mined,19,742,2,, 221Ed,22,225-270,
Mined,19,317,2,12, 221Ed,22,225-270,
Mined,19,742,1,8, 221Ed,22,225-270,
Mined,19,313,1,10, 221Ed,22,225-270,
Mined,19,541,1,10, 221Ed,22,225-270,
Mined,19,541,2,6, 221Ed,22,225-270,
Mined,19,313,1,6, 221Ed,22,225-270,
Mined,20,975,1,2, 221Ee,22,315-360,40-50
Mined,20,975,1,4, 221Ee,22,315-360,40-50
Mined,20,975,1,2, 221Ee,22,315-360,40-50
Mined,20,975,1,4, 221Ee,22,315-360,40-50
Mined,20,341,1,10, 221Ee,22,315-360,40-50
Mined,20,313,1,12, 221Ee,22,315-360,40-50
Mined,20,901,2,8, 221Ee,22,315-360,40-50
Mined,20,901,2,6, 221Ee,22,315-360,40-50
Mined,20,313,1,8, 221Ee,22,315-360,40-50
Mined,20,91,1,12, 221Ee,22,315-360,40-50
Mined,20,731,1,20, 221Ee,22,315-360,40-50
Mined,20,91,1,8, 221Ee,22,315-360,40-50
Mined,20,901,2,, 221Ee,22,315-360,40-50
Mined,20,901,2,8, 221Ee,22,315-360,40-50
Mined,20,975,1,2, 221Ee,22,315-360,40-50
Mined,20,91,1,8, 221Ee,22,315-360,40-50
Mined,20,313,1,6, 221Ee,22,315-360,40-50
Mined,20,731,1,10, 221Ee,22,180-225,10-20
Mined,20,731,1,16, 221Ee,22,180-225,10-20
Mined,20,731,1,16, 221Ee,22,180-225,10-20
Mined,20,355,1,4, 221Ee,22,180-225,10-20
Mined,20,355,1,4, 221Ee,22,180-225,10-20
Mined,20,313,1,4, 221Ee,22,180-225,10-20
Mined,20,313,1,4, 221Ee,22,180-225,10-20
Mined,20,355,2,, 221Ee,22,180-225,10-20
Mined,20,313,1,2, 221Ee,22,180-225,10-20
Mined,20,313,1,8, 221Ee,22,0-45,30-40
Mined,20,731,1,8, 221Ee,22,0-45,30-40
Mined,20,743,1,16, 221Ee,22,0-45,30-40
Mined,20,313,1,8, 221Ee,22,0-45,30-40
Mined,20,901,2,, 221Ee,22,0-45,30-40
Mined,20,901,2,8, 221Ee,22,0-45,30-40
Mined,20,731,1,16, 221Ee,22,0-45,30-40
Mined,20,341,1,12, 221Ee,22,0-45,30-40
Mined,20,975,2,6, 221Ee,22,0-45,30-40
Mined,20,901,2,8, 221Ee,22,0-45,30-40
Mined,20,901,2,8, 221Ee,22,0-45,30-40
Mined,20,313,1,6, 221Ee,22,0-45,30-40
Mined,20,313,1,10, 221Ee,22,0-45,30-40
Mined,20,901,1,10, 221Ee,22,0-45,30-40
Mined,20,313,1,6, 221Ee,22,0-45,30-40
Mined,20,313,1,8, 221Ee,22,0-45,30-40
Mined,20,316,1,8, 221Ee,22,0-45,30-40
Mined,20,313,1,8, 221Ee,22,0-45,30-40
Mined,20,316,1,6, 221Ee,22,315-360,30-40
Mined,20,731,1,24, 221Ee,22,315-360,30-40
Mined,20,901,1,12, 221Ee,22,315-360,30-40
Mined,20,341,1,14, 221Ee,22,315-360,30-40
Mined,20,313,1,8, 221Ee,22,315-360,30-40
Mined,20,313,1,8, 221Ee,22,315-360,30-40
Mined,20,355,2,8, 221Ee,22,315-360,30-40
Mined,20,975,2,6, 221Ee,22,315-360,30-40
Mined,21,316,1,10, 221Ee,21,0-45,0-10
Mined,21,762,1,8, 221Ee,21,0-45,0-10
Mined,21,316,1,10, 221Ee,21,0-45,0-10
Mined,21,316,1,10, 221Ee,21,0-45,0-10
Mined,21,316,1,14, 221Ee,21,0-45,0-10
Mined,21,316,1,10, 221Ee,21,0-45,0-10
Mined,21,316,2,, 221Ee,22,270-315,
Mined,21,316,1,12, 221Ee,22,270-315,
Mined,21,316,1,10, 221Ee,22,270-315,
Mined,21,316,1,10, 221Ee,22,270-315,
Mined,21,316,1,12, 221Ee,22,270-315,
Mined,21,762,1,6, 221Ee,22,270-315,
Mined,21,762,1,8, 221Ee,22,270-315,
Mined,21,762,1,12, 221Ee,22,270-315,
Mined,21,901,1,8, 221Ee,22,270-315,
Mined,21,901,1,10, 221Ee,22,270-315,
Mined,21,833,1,14, 221Ee,22,270-315,
Mined,22,317,2,, 221Ee,22,0-45,0-10
Mined,22,317,1,16, 221Ee,22,0-45,0-10
Mined,22,317,1,8, 221Ee,22,0-45,0-10
Mined,22,317,1,12, 221Ee,22,0-45,0-10
Mined,22,317,1,12, 221Ee,22,0-45,0-10
Mined,22,742,1,16, 221Ee,22,0-45,0-10
Mined,22,742,1,18, 221Ee,22,0-45,0-10
Mined,22,491,1,2, 221Ee,22,0-45,0-10
Mined,22,901,2,2, 221Ee,22,0-45,0-10
Mined,22,317,1,6, 221Ee,22,0-45,0-10
Mined,22,317,1,6, 221Ee,22,0-45,0-10
Mined,22,901,2,6, 221Ee,22,90-135,10-20
Mined,22,731,1,12, 221Ee,22,90-135,10-20
Mined,22,731,2,14, 221Ee,22,90-135,10-20
Mined,22,373,1,14, 221Ee,22,90-135,10-20
Mined,22,373,2,8, 221Ee,22,90-135,10-20
Mined,22,373,1,12, 221Ee,22,90-135,10-20
Mined,22,373,1,10, 221Ee,22,90-135,10-20
Mined,22,373,1,10, 221Ee,22,90-135,10-20
Mined,22,373,1,14, 221Ee,22,90-135,10-20
Mined,22,901,1,6, 221Ee,22,90-135,10-20
Mined,22,742,1,16, 221Ee,22,0-45,10-20
Mined,22,373,2,6, 221Ee,22,0-45,10-20
Mined,22,373,1,12, 221Ee,22,0-45,10-20
Mined,22,373,1,10, 221Ee,22,0-45,10-20
Mined,22,731,1,8, 221Ee,22,0-45,10-20
Mined,22,742,1,14, 221Ee,22,0-45,10-20
Mined,22,129,1,8, 221Ee,22,225-270,10-20
Mined,22,317,1,16, 221Ee,22,225-270,10-20
Mined,22,317,1,16, 221Ee,22,225-270,10-20
Mined,22,373,1,12, 221Ee,22,225-270,10-20
Mined,22,901,2,6, 221Ee,22,225-270,10-20
Mined,22,129,1,14, 221Ee,22,225-270,10-20
Mined,22,901,2,4, 221Ee,22,225-270,10-20
Mined,23,742,1,28, 221Ed,22,0-45,20-30
Mined,23,341,1,6, 221Ed,22,0-45,20-30
Mined,23,341,1,6, 221Ed,22,0-45,20-30
Mined,23,341,1,8, 221Ed,22,0-45,20-30
Mined,23,341,1,8, 221Ed,22,0-45,20-30
Mined,23,901,1,8, 221Ed,22,180-225,0-10
